VariableCode,RegionCode,YearCode,AggValue
emp,ABW,2010,0.04650000110268590
rgdpna,ABW,2010,2691.88891601563000000
rkna,ABW,2010,0.89014363288879400
labsh,ABW,2010,0.64510613679885900
emp,ABW,2011,0.04568993672728540
rgdpna,ABW,2011,2701.08422851563000000
rkna,ABW,2011,0.91466885805130000
labsh,ABW,2011,0.64510613679885900
emp,ABW,2012,0.04592007398605350
rgdpna,ABW,2012,2664.08349609375000000
rkna,ABW,2012,0.93342226743698100
labsh,ABW,2012,0.64510613679885900
emp,ABW,2013,0.04618826881051060
rgdpna,ABW,2013,2775.92749023438000000
rkna,ABW,2013,0.94715589284896900
labsh,ABW,2013,0.64510613679885900
emp,ABW,2014,0.04646362736821170
rgdpna,ABW,2014,2783.49291992188000000
rkna,ABW,2014,0.96007341146469100
labsh,ABW,2014,0.64510613679885900
emp,ABW,2015,0.04671749845147130
rgdpna,ABW,2015,2942.78222656250000000
rkna,ABW,2015,0.97060084342956500
labsh,ABW,2015,0.64510613679885900
emp,ABW,2016,0.04695524647831920
rgdpna,ABW,2016,3003.41357421875000000
rkna,ABW,2016,0.98496896028518700
labsh,ABW,2016,0.64510613679885900
emp,ABW,2017,0.04717642813920970
rgdpna,ABW,2017,3062.58056640625000000
rkna,ABW,2017,1.00000000000000000
labsh,ABW,2017,0.64510613679885900
emp,ABW,2018,0.04739089682698250
rgdpna,ABW,2018,3090.40478515625000000
rkna,ABW,2018,1.01368522644043000
labsh,ABW,2018,0.64510613679885900
emp,ABW,2019,0.04760088771581650
rgdpna,ABW,2019,3068.75830078125000000
rkna,ABW,2019,1.02622926235199000
labsh,ABW,2019,0.64510613679885900
rgdpna,BHS,2012,11848.05273437500000000
rkna,BHS,2012,0.86675316095352200
labsh,BHS,2012,0.39721027016639700
emp,BHS,2013,0.17564401030540500
rgdpna,BHS,2013,11530.65722656250000000
rkna,BHS,2013,0.89263236522674600
labsh,BHS,2013,0.39721027016639700
emp,BHS,2014,0.18402154743671400
rgdpna,BHS,2014,11652.19335937500000000
rkna,BHS,2014,0.93021386861801100
labsh,BHS,2014,0.39721027016639700
emp,BHS,2015,0.19121660292148600
rgdpna,BHS,2015,11678.99414062500000000
rkna,BHS,2015,0.94858968257904100
labsh,BHS,2015,0.39721027016639700
emp,BHS,2016,0.19304397702217100
rgdpna,BHS,2016,11847.68847656250000000
rkna,BHS,2016,0.97101396322250400
labsh,BHS,2016,0.39721027016639700
emp,BHS,2017,0.20265205204486800
rgdpna,BHS,2017,12216.80566406250000000
rkna,BHS,2017,1.00000000000000000
labsh,BHS,2017,0.39721027016639700
emp,BHS,2018,0.20517440140247300
